#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	APOBEC3B	9606.ENSP00000378868	9606.ENSP00000327459	0	0	0	0	0	0.045	0.500	0.276	0.624
A1CF	RBM15	9606.ENSP00000378868	9606.ENSP00000358799	0	0	0	0	0	0	0.540	0.100	0.568
A1CF	HNF1A	9606.ENSP00000378868	9606.ENSP00000438804	0	0	0	0	0.448	0	0	0.085	0.474
ABI1	MAPK1	9606.ENSP00000365312	9606.ENSP00000215832	0	0	0	0	0.054	0	0.400	0.109	0.450
ABI1	PIK3R2	9606.ENSP00000365312	9606.ENSP00000222254	0	0	0	0	0.042	0.124	0.400	0.050	0.457
ABI1	RAC2	9606.ENSP00000365312	9606.ENSP00000249071	0	0	0	0	0.056	0.169	0.500	0.326	0.700
ABI1	PIK3R3	9606.ENSP00000365312	9606.ENSP00000262741	0	0	0	0	0	0.124	0.400	0.050	0.457
ABI1	MAPK3	9606.ENSP00000365312	9606.ENSP00000263025	0	0	0	0	0.042	0	0.400	0.197	0.498
ABI1	KDR	9606.ENSP00000365312	9606.ENSP00000263923	0	0	0	0	0	0	0.500	0.072	0.516
ABI1	PIK3CA	9606.ENSP00000365312	9606.ENSP00000263967	0	0	0	0	0.146	0	0.400	0.052	0.471
ABI1	CBL	9606.ENSP00000365312	9606.ENSP00000264033	0	0	0	0	0.042	0.292	0	0.589	0.697
ABI1	RASA1	9606.ENSP00000365312	9606.ENSP00000274376	0	0	0	0	0.084	0.078	0	0.599	0.631
ABI1	EGFR	9606.ENSP00000365312	9606.ENSP00000275493	0	0	0	0	0.042	0.126	0	0.624	0.657
ABI1	PAK1	9606.ENSP00000365312	9606.ENSP00000278568	0	0	0	0	0.060	0	0.400	0.175	0.494
ABI1	NCKIPSD	9606.ENSP00000365312	9606.ENSP00000294129	0	0	0	0	0.056	0	0.500	0.245	0.612
ABI1	RPN1	9606.ENSP00000365312	9606.ENSP00000296255	0	0	0	0	0.060	0	0	0.521	0.530
ABI1	INPPL1	9606.ENSP00000365312	9606.ENSP00000298229	0	0	0	0	0.049	0.078	0	0.506	0.529
ABI1	MLLT10	9606.ENSP00000365312	9606.ENSP00000307411	0	0	0	0	0.087	0	0	0.649	0.665
ABI1	HSP90AA1	9606.ENSP00000365312	9606.ENSP00000335153	0	0	0	0	0.050	0.052	0.500	0.075	0.528
ABI1	KNL1	9606.ENSP00000365312	9606.ENSP00000335463	0	0	0	0	0	0	0	0.589	0.589
ABI1	SEPTIN6	9606.ENSP00000365312	9606.ENSP00000341524	0	0	0	0	0.082	0	0	0.404	0.429
ABI1	CRKL	9606.ENSP00000365312	9606.ENSP00000346300	0	0	0	0	0.066	0.078	0	0.629	0.653
ABI1	RAC1	9606.ENSP00000365312	9606.ENSP00000348461	0	0	0	0	0.074	0.170	0.500	0.481	0.774
ABI1	AFDN	9606.ENSP00000365312	9606.ENSP00000355771	0	0	0	0	0.042	0	0	0.422	0.422
ABI1	MLLT11	9606.ENSP00000365312	9606.ENSP00000357917	0	0	0	0	0	0	0	0.489	0.489
ABI1	SHOC2	9606.ENSP00000365312	9606.ENSP00000358464	0	0	0	0	0.407	0	0	0.046	0.410
ABI1	ABL1	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.876	0.400	0.977	0.998
ABI1	SRC	9606.ENSP00000365312	9606.ENSP00000362680	0	0	0	0	0.049	0.129	0.500	0.740	0.878
ABI1	SYK	9606.ENSP00000365312	9606.ENSP00000364898	0	0	0	0	0.060	0.095	0.500	0.174	0.601
ABI1	SEPTIN5	9606.ENSP00000365312	9606.ENSP00000391311	0	0	0	0	0	0	0	0.415	0.415
ABI1	TFRC	9606.ENSP00000365312	9606.ENSP00000376197	0	0	0	0	0.044	0	0.400	0.077	0.424
ABI1	AFF1	9606.ENSP00000365312	9606.ENSP00000378578	0	0	0	0	0.060	0	0	0.424	0.435
ABI1	CLTCL1	9606.ENSP00000365312	9606.ENSP00000441158	0	0	0	0	0.042	0	0	0.441	0.442
ABI1	SFRP4	9606.ENSP00000365312	9606.ENSP00000410715	0	0	0	0	0	0	0	0.447	0.447
ABI1	GMPS	9606.ENSP00000365312	9606.ENSP00000419851	0	0	0	0	0.042	0	0	0.455	0.455
ABI1	CLTC	9606.ENSP00000365312	9606.ENSP00000479606	0	0	0	0	0.049	0	0	0.478	0.482
ABI1	PIK3R1	9606.ENSP00000365312	9606.ENSP00000428056	0	0	0	0	0.056	0.129	0.400	0.109	0.502
ABI1	AKT1	9606.ENSP00000365312	9606.ENSP00000451828	0	0	0	0	0.042	0.212	0	0.438	0.539
ABI1	MLLT6	9606.ENSP00000365312	9606.ENSP00000479910	0	0	0	0	0.067	0	0	0.563	0.574
ABI1	ARHGEF12	9606.ENSP00000365312	9606.ENSP00000380942	0	0	0	0	0.047	0.069	0	0.560	0.575
ABI1	MLLT3	9606.ENSP00000365312	9606.ENSP00000369695	0	0	0	0	0.047	0	0	0.611	0.613
ABI1	ABL2	9606.ENSP00000365312	9606.ENSP00000427562	0	0	0	0	0	0.331	0	0.473	0.632
ABI1	VAV1	9606.ENSP00000365312	9606.ENSP00000472929	0	0	0	0	0.062	0.078	0.500	0.263	0.639
ABI1	FNBP1	9606.ENSP00000365312	9606.ENSP00000413625	0	0	0	0	0.074	0.095	0	0.655	0.686
ABI1	CDC42	9606.ENSP00000365312	9606.ENSP00000497733	0	0	0	0	0.064	0.074	0.400	0.689	0.816
