#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	CD74	9606.ENSP00000378868	9606.ENSP00000009530	0	0	0	0	0	0.289	0	0.046	0.292
A1CF	CDH17	9606.ENSP00000378868	9606.ENSP00000027335	0	0	0	0	0.201	0	0	0	0.201
A1CF	EIF3E	9606.ENSP00000378868	9606.ENSP00000220849	0	0	0	0	0	0.297	0	0.063	0.313
A1CF	FGF19	9606.ENSP00000378868	9606.ENSP00000294312	0	0	0	0	0.194	0	0	0	0.194
A1CF	ETV5	9606.ENSP00000378868	9606.ENSP00000306894	0	0	0	0	0.050	0	0	0.156	0.164
A1CF	ISX	9606.ENSP00000378868	9606.ENSP00000311492	0	0	0	0	0.132	0.048	0	0.066	0.161
A1CF	APOBEC3B	9606.ENSP00000378868	9606.ENSP00000327459	0	0	0	0	0	0.045	0.500	0.276	0.624
A1CF	HNRNPA2B1	9606.ENSP00000378868	9606.ENSP00000346694	0	0	0	0	0.087	0.094	0	0.227	0.305
A1CF	XRCC2	9606.ENSP00000378868	9606.ENSP00000352271	0	0	0	0	0.058	0	0	0.189	0.204
A1CF	NUP214	9606.ENSP00000378868	9606.ENSP00000352400	0	0	0	0	0.047	0	0	0.166	0.171
A1CF	TOP1	9606.ENSP00000378868	9606.ENSP00000354522	0	0	0	0	0.047	0	0	0.150	0.156
A1CF	RBM15	9606.ENSP00000378868	9606.ENSP00000358799	0	0	0	0	0	0	0.540	0.100	0.568
A1CF	FUBP1	9606.ENSP00000378868	9606.ENSP00000359804	0	0	0	0	0.067	0	0	0.158	0.181
A1CF	SRSF3	9606.ENSP00000378868	9606.ENSP00000362820	0	0	0	0	0.067	0	0	0.141	0.165
A1CF	CRNKL1	9606.ENSP00000378868	9606.ENSP00000366557	0	0	0	0	0.055	0	0	0.209	0.220
A1CF	EIF1AX	9606.ENSP00000378868	9606.ENSP00000368927	0	0	0	0	0	0.268	0	0	0.268
A1CF	SRSF2	9606.ENSP00000378868	9606.ENSP00000376276	0	0	0	0	0	0	0	0.161	0.161
A1CF	DEK	9606.ENSP00000378868	9606.ENSP00000498653	0	0	0	0	0.103	0	0	0.092	0.151
A1CF	IGF1R	9606.ENSP00000378868	9606.ENSP00000497069	0	0	0	0	0	0	0	0.166	0.165
A1CF	XPO1	9606.ENSP00000378868	9606.ENSP00000384863	0	0	0	0	0.051	0	0	0.164	0.172
A1CF	EWSR1	9606.ENSP00000378868	9606.ENSP00000400142	0	0	0	0	0.087	0.098	0	0.076	0.172
A1CF	ESR1	9606.ENSP00000378868	9606.ENSP00000405330	0	0	0	0	0.074	0	0	0.228	0.254
A1CF	HNF1A	9606.ENSP00000378868	9606.ENSP00000438804	0	0	0	0	0.448	0	0	0.085	0.474
ABI1	CDH17	9606.ENSP00000365312	9606.ENSP00000027335	0	0	0	0	0	0	0	0.155	0.154
ABI1	MAPK1	9606.ENSP00000365312	9606.ENSP00000215832	0	0	0	0	0.054	0	0.400	0.109	0.450
ABI1	PIK3R2	9606.ENSP00000365312	9606.ENSP00000222254	0	0	0	0	0.042	0.124	0.400	0.050	0.457
ABI1	PLCG1	9606.ENSP00000365312	9606.ENSP00000244007	0	0	0	0	0	0.078	0	0.141	0.174
ABI1	RRAS	9606.ENSP00000365312	9606.ENSP00000246792	0	0	0	0	0.057	0.052	0	0.129	0.154
ABI1	RAC2	9606.ENSP00000365312	9606.ENSP00000249071	0	0	0	0	0.056	0.169	0.500	0.326	0.700
ABI1	MLLT1	9606.ENSP00000365312	9606.ENSP00000252674	0	0	0	0	0	0	0	0.188	0.188
ABI1	KRAS	9606.ENSP00000365312	9606.ENSP00000256078	0	0	0	0	0.103	0.085	0	0.133	0.227
ABI1	RRAS2	9606.ENSP00000365312	9606.ENSP00000256196	0	0	0	0	0.069	0.052	0	0.114	0.151
ABI1	TANK	9606.ENSP00000365312	9606.ENSP00000259075	0	0	0	0	0.219	0	0	0	0.219
ABI1	CDH1	9606.ENSP00000365312	9606.ENSP00000261769	0	0	0	0	0	0.080	0	0.215	0.246
ABI1	PDGFRB	9606.ENSP00000365312	9606.ENSP00000261799	0	0	0	0	0	0	0	0.163	0.163
ABI1	SMAD2	9606.ENSP00000365312	9606.ENSP00000262160	0	0	0	0	0.108	0	0	0.129	0.190
ABI1	PIK3R3	9606.ENSP00000365312	9606.ENSP00000262741	0	0	0	0	0	0.124	0.400	0.050	0.457
ABI1	ELL	9606.ENSP00000365312	9606.ENSP00000262809	0	0	0	0	0	0	0	0.206	0.206
ABI1	MAPK3	9606.ENSP00000365312	9606.ENSP00000263025	0	0	0	0	0.042	0	0.400	0.197	0.498
ABI1	KDR	9606.ENSP00000365312	9606.ENSP00000263923	0	0	0	0	0	0	0.500	0.072	0.516
ABI1	PIK3CA	9606.ENSP00000365312	9606.ENSP00000263967	0	0	0	0	0.146	0	0.400	0.052	0.471
ABI1	CBL	9606.ENSP00000365312	9606.ENSP00000264033	0	0	0	0	0.042	0.292	0	0.589	0.697
ABI1	STAT3	9606.ENSP00000365312	9606.ENSP00000264657	0	0	0	0	0.060	0	0	0.155	0.171
ABI1	AFF4	9606.ENSP00000365312	9606.ENSP00000265343	0	0	0	0	0.054	0	0	0.323	0.332
ABI1	ANK1	9606.ENSP00000365312	9606.ENSP00000265709	0	0	0	0	0.051	0	0	0.186	0.196
ABI1	CDK6	9606.ENSP00000365312	9606.ENSP00000265734	0	0	0	0	0	0.192	0	0	0.192
ABI1	TP53	9606.ENSP00000365312	9606.ENSP00000269305	0	0	0	0	0	0	0	0.175	0.175
ABI1	ERBB2	9606.ENSP00000365312	9606.ENSP00000269571	0	0	0	0	0	0.091	0	0.110	0.156
ABI1	SH3GL1	9606.ENSP00000365312	9606.ENSP00000269886	0	0	0	0.573	0.057	0	0	0.237	0.249
ABI1	RASA1	9606.ENSP00000365312	9606.ENSP00000274376	0	0	0	0	0.084	0.078	0	0.599	0.631
ABI1	EGFR	9606.ENSP00000365312	9606.ENSP00000275493	0	0	0	0	0.042	0.126	0	0.624	0.657
ABI1	PAK1	9606.ENSP00000365312	9606.ENSP00000278568	0	0	0	0	0.060	0	0.400	0.175	0.494
ABI1	NCKIPSD	9606.ENSP00000365312	9606.ENSP00000294129	0	0	0	0	0.056	0	0.500	0.245	0.612
ABI1	RPN1	9606.ENSP00000365312	9606.ENSP00000296255	0	0	0	0	0.060	0	0	0.521	0.530
ABI1	WNK2	9606.ENSP00000365312	9606.ENSP00000297954	0	0	0	0	0.058	0	0	0.142	0.157
ABI1	INPPL1	9606.ENSP00000365312	9606.ENSP00000298229	0	0	0	0	0.049	0.078	0	0.506	0.529
ABI1	MAP2K1	9606.ENSP00000365312	9606.ENSP00000302486	0	0	0	0	0.105	0	0	0.188	0.242
ABI1	BCR	9606.ENSP00000365312	9606.ENSP00000303507	0	0	0	0	0.042	0	0	0.385	0.385
ABI1	CTNND2	9606.ENSP00000365312	9606.ENSP00000307134	0	0	0	0	0.067	0	0	0.134	0.158
ABI1	MLLT10	9606.ENSP00000365312	9606.ENSP00000307411	0	0	0	0	0.087	0	0	0.649	0.665
ABI1	NUP98	9606.ENSP00000365312	9606.ENSP00000316032	0	0	0	0	0.067	0	0	0.148	0.171
ABI1	PPP2R1A	9606.ENSP00000365312	9606.ENSP00000324804	0	0	0	0	0.077	0.164	0	0	0.196
ABI1	GSK3B	9606.ENSP00000365312	9606.ENSP00000324806	0	0	0	0	0.042	0.095	0	0.112	0.163
ABI1	LASP1	9606.ENSP00000365312	9606.ENSP00000325240	0	0	0	0.600	0.049	0	0	0.256	0.262
ABI1	PCM1	9606.ENSP00000365312	9606.ENSP00000327077	0	0	0	0	0.042	0.195	0	0.064	0.215
